,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,,,,,,1.4773,0.9929,0.3972,,0.7432,0.9467,0.5706,,0.2095,0.4022,0.7991
m2,,,,,,1.9366,1.1282,0.4939,,0.8444,0.935,0.438,,0.2606,0.3087,0.5955
m3,,,,,,1.9484,1.4475,1.5542,,1.0834,1.2046,0.7705,,0.8199,0.5431,1.2219
m4,,,,,,2.2601,1.7111,0.7349,,1.2807,1.4083,0.7544,,0.3877,0.5318,0.9598
m5,,,,,,2.7109,2.0081,0.9679,,1.503,1.3101,0.7993,,0.5106,0.5634,1.2242
m6,,,,,,2.6026,1.7914,1.3915,,1.3409,1.5502,1.0841,,0.7341,0.7641,1.1637
m7,,,,,,3.5413,2.3042,1.5303,,1.7247,1.3295,0.6909,,0.8073,0.4869,0.9927
m8,,,,,,1.5467,1.1499,0.871,,0.8607,0.8989,0.6267,,0.4595,0.4417,0.9341
m9,2.1665,0.6153,0.2595,0.1344,1.1069,2.9757,1.9271,1.6066,0.3494,1.4424,1.0121,0.6883,0.1276,0.8476,0.4851,0.4938
m10,2.7041,0.8101,0.2697,0.1155,1.4572,1.89,1.715,1.5563,0.3632,1.2836,1.4288,1.0707,0.1096,0.8211,0.7546,0.6115
m11,2.4444,0.5996,0.3048,0.0795,1.0787,2.4415,1.8204,1.6996,0.4104,1.3626,1.2042,0.9567,0.0754,0.8967,0.6743,0.5785
m12,2.7281,0.8282,0.3969,0.1174,1.4897,1.6562,1.5582,0.8238,0.5344,1.1663,1.0103,0.7841,0.1114,0.4346,0.5526,0.4908
m13,9.7476,1.4687,0.7884,0.1929,2.6418,2.5041,1.6482,1.0727,1.0615,1.2337,0.7039,0.3623,0.1831,0.5659,0.2554,0.905
m14,5.3911,0.832,1.4277,0.0811,1.4966,1.4109,1.0941,0.6026,1.9223,0.8189,1.6617,0.3362,0.077,0.3179,0.2369,0.4453
m15,6.0565,1.1979,0.6888,0.2037,2.1548,1.5322,1.8031,1.0116,0.9274,1.3496,1.677,1.1435,0.1933,0.5337,0.806,0.9516
m16,4.8631,0.6618,0.7639,0.1444,1.1905,1.473,1.2132,0.9152,1.0285,0.9081,1.0097,0.6617,0.137,0.4829,0.4664,0.9049
m17,6.455,0.658,0.4476,0.0908,1.1837,1.292,0.9254,0.3779,0.6027,0.6927,0.6464,0.3715,0.0862,0.1993,0.2618,0.5182
m18,5.0623,0.7976,0.5057,0.1439,1.4347,1.8186,1.4824,0.8564,0.6809,1.1096,1.0824,0.8743,0.1366,0.4518,0.6163,0.7842
m19,1.615,0.6146,0.3998,0.2283,1.1055,1.3634,1.1847,0.6608,0.5383,0.8867,0.9859,0.7216,0.2167,0.3486,0.5086,1.791
m20,2.3496,0.8203,0.3836,0.2142,1.4756,1.5418,1.3154,0.8403,0.5164,0.9846,0.9447,0.7213,0.2033,0.4433,0.5084,0.6818
m21,5.2462,1.084,0.5813,0.1797,1.9499,1.5295,1.1022,0.6689,0.7826,0.825,0.8221,0.4163,0.1705,0.3529,0.2934,0.8531
m22,5.4718,1.0276,0.5225,0.1936,1.8485,2.4323,1.6515,1.134,0.7034,1.2362,1.2298,0.7798,0.1837,0.5982,0.5497,0.731
m23,5.4075,1.0497,0.6402,0.1376,1.8882,1.746,1.2472,0.8174,0.862,0.9335,0.9248,0.6364,0.1305,0.4312,0.4486,0.8406
m24,5.2062,0.8567,0.7045,0.2667,1.5411,1.6582,1.3274,0.929,0.9486,0.9935,1.0198,0.9093,0.2531,0.4901,0.6409,1.1519
m25,8.0008,1.4442,0.865,0.6764,2.5978,2.122,1.1254,1.1335,1.1647,0.8423,0.9648,0.5881,0.6419,0.598,0.4145,0.9979
m26,2.1391,0.7622,0.5865,0.1728,1.371,1.7723,1.5434,1.1345,0.7897,1.1552,1.354,0.8209,0.164,0.5985,0.5786,1.0136
m27,3.7811,0.7003,0.5222,0.2621,1.2597,1.9985,1.5222,0.8623,0.7031,1.1394,1.1766,0.8467,0.2487,0.4549,0.5968,1.1631
m28,1.5167,0.7058,0.6006,0.3421,1.2697,1.632,1.5532,1.4312,0.8086,1.1626,1.5514,1.3971,0.3246,0.7551,0.9847,1.2891
m29,1.5102,0.7612,0.3915,0.2068,1.3692,2.1921,1.4783,0.9741,0.5271,1.1065,0.9131,0.8239,0.1963,0.5139,0.5808,0.9695
m30,3.3608,1.2431,0.8293,0.5985,2.236,1.8051,1.3925,0.873,1.1165,1.0423,1.1277,0.9457,0.568,0.4605,0.6666,1.1469
m31,7.8935,1.2672,0.7906,0.2643,2.2794,2.1676,1.7594,1.0889,1.0644,1.3169,1.3072,0.7776,0.2508,0.5745,0.5481,1.2621
m32,4.7576,0.8555,0.4154,0.2299,1.5389,2.9382,2.1303,0.7844,0.5593,1.5945,1.3727,0.8807,0.2182,0.4138,0.6208,0.9764
m33,5.2648,1.1604,0.4777,0.1633,2.0873,1.9205,1.6204,1.1488,0.6432,1.2129,1.2583,0.8301,0.155,0.6061,0.5851,0.9853
m34,5.5669,1.2147,0.6469,0.1816,2.1851,1.8778,1.3701,0.9686,0.8709,1.0255,0.8732,0.6075,0.1723,0.511,0.4282,1.1081
m35,3.0611,0.8131,0.4853,0.2253,1.4627,2.206,1.5489,1.1203,0.6534,1.1593,0.9604,1.0964,0.2138,0.591,0.7728,0.9677
m36,4.6463,1.306,0.6076,0.1808,2.3492,1.5012,1.1038,0.751,0.818,0.8262,0.8809,0.5528,0.1716,0.3962,0.3896,0.7454
