,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
m1,,,,,,,,,,,,,,,,,0.4811,0.2856,0.2609,0.0546,0.0282,,,0.9842,1.0689,0.6083,0.3518,0.1393,,,0.9421,0.6373,0.9804,0.5611,0.3825,,,0.115,0.2151,0.3275,0.8647,0.4536,,,0.0103,0.0148,0.0388,0.0788,0.0
m2,,,,,,,,,,,,,,,,,0.6895,0.3668,0.2892,0.0625,0.217,,,1.2643,1.474,0.748,0.3837,0.3026,,,1.044,0.7835,0.8835,0.4433,0.3457,,,0.1316,0.2346,0.2587,0.5297,0.3532,,,0.0794,0.0321,0.035,0.0613,0.0738
m3,,,,,,,,,,,,,,,,,0.547,0.3959,0.3425,0.1238,0.0728,,,1.3644,1.4275,0.9209,1.2594,1.092,,,1.2364,0.9647,1.1986,0.89,0.5579,,,0.2609,0.77,0.5195,0.855,0.8912,,,0.0267,0.116,0.0566,0.1548,0.1365
m4,,,,,,,,,,,,,,,,,0.7001,0.4268,0.333,0.1148,0.0846,,,1.471,1.901,1.067,0.743,0.5949,,,1.2021,1.1177,1.4603,0.6445,0.5363,,,0.2419,0.4543,0.3762,0.7164,0.5988,,,0.0309,0.0632,0.0544,0.104,0.0407
m5,,,,,,,,,,,,,,,,,1.249,0.7412,0.6125,0.404,0.4419,,,2.5547,1.6873,1.1983,0.718,0.3659,,,2.2113,1.2552,1.3159,0.7886,0.4483,,,0.8514,0.439,0.4603,1.0528,0.7301,,,0.1617,0.0389,0.0454,0.1268,0.0386
m6,,,,,,,,,,,,,,,,,1.0311,0.4155,0.488,0.3219,0.125,,,1.4322,1.6768,1.1747,0.8848,1.075,,,1.7618,1.2305,1.4645,1.21,1.399,,,0.6784,0.541,0.7062,1.09,1.2654,,,0.0458,0.1142,0.1418,0.2198,0.1183
m7,,,,,,,,,,,,,,,,,0.9564,0.6424,0.5585,0.1735,0.1099,,,2.2139,1.9651,1.4749,1.0741,0.8095,,,2.0162,1.545,1.3626,0.8056,0.1837,,,0.3655,0.6567,0.4702,0.8945,0.7812,,,0.0402,0.086,0.0186,0.1357,0.0496
m8,,,,,,,,,,,,,,,,,0.6797,0.3657,0.2613,0.2448,0.1172,,,1.2603,0.8996,0.7844,0.5661,0.6205,,,0.9433,0.8216,0.9675,0.6439,0.5455,,,0.5159,0.3461,0.3758,0.7578,0.7854,,,0.0429,0.0659,0.0553,0.1364,0.0842
m9,2.0507,0.8372,0.2654,0.4743,0.1465,0.1155,0.0323,0.3639,0.3582,0.2822,0.1325,0.0857,0.0233,0.0484,0.1506,0.3685,0.7139,0.5712,0.3696,0.3566,0.2842,0.9277,0.5962,1.9685,2.4508,1.4941,1.0732,0.7338,0.3001,0.4042,1.3345,1.5651,1.0861,0.8286,0.4575,0.1382,0.0641,0.7514,0.6562,0.4836,0.3853,0.2925,0.0067,0.0231,0.104,0.0779,0.0464,0.0508,0.0645
m10,2.7927,0.9608,0.5845,0.5555,0.1865,0.1043,0.0372,0.4176,0.8971,0.3301,0.252,0.0805,0.0268,0.0,0.3317,0.431,0.5901,0.4239,0.3359,0.2357,0.1461,1.0865,1.1339,1.461,1.6303,1.2774,0.8757,0.4891,0.3821,0.3793,1.2127,1.3381,1.2823,1.2462,0.9153,0.1247,0.0737,0.4966,0.5354,0.7274,0.5259,0.5439,0.0077,0.0,0.0535,0.0519,0.0928,0.0945,0.0377
m11,2.0756,1.25,0.1884,0.3668,0.1548,0.1117,0.0201,0.5433,0.5729,0.2788,0.2033,0.091,0.0202,0.0201,0.1069,0.364,1.1,0.5209,0.479,0.9354,0.6394,0.7173,0.9148,1.7954,1.8902,1.3122,0.9449,0.6328,0.317,0.4289,1.7293,1.3745,1.1674,0.9651,0.4922,0.1336,0.0556,1.971,0.5777,0.5633,0.5159,0.3164,0.0042,0.0096,0.234,0.0672,0.0499,0.055,0.0
