,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,,,,,,1.4628,0.9715,0.4226,,0.7272,0.9311,0.5435,,0.223,0.3831,0.8826
m2,,,,,,1.9582,1.1327,0.4851,,0.8478,0.9099,0.439,,0.2559,0.3094,0.5458
m3,,,,,,2.1396,1.4574,1.4052,,1.0908,1.1331,0.843,,0.7414,0.5942,0.8809
m4,,,,,,2.3835,1.5715,0.9213,,1.1763,1.4474,0.5804,,0.4861,0.4091,0.9574
m5,,,,,,2.6683,2.0645,1.0548,,1.5453,1.2982,0.7111,,0.5565,0.5013,1.2155
m6,,,,,,2.7774,1.8818,1.7041,,1.4085,1.3914,0.8897,,0.899,0.6271,1.1706
m7,,,,,,3.715,2.1932,1.5676,,1.6416,1.2084,0.6803,,0.827,0.4795,0.9438
m8,,,,,,1.4892,1.058,0.942,,0.7919,1.0343,0.6176,,0.497,0.4353,0.8907
m9,2.0204,0.5851,0.2509,0.1241,1.0525,3.0489,1.9142,1.6325,0.3378,1.4328,0.9518,0.698,0.1178,0.8613,0.492,0.4395
m10,2.7763,0.7075,0.3509,0.1138,1.2727,1.9073,1.7197,1.621,0.4724,1.2872,1.4302,1.0483,0.108,0.8552,0.7389,0.6495
m11,2.4299,0.5691,0.2759,0.0891,1.0238,2.6804,1.936,1.6225,0.3714,1.4491,1.1989,0.9624,0.0846,0.856,0.6783,0.5411
m12,2.5854,0.7651,0.3955,0.1269,1.3763,1.6197,1.4894,0.8567,0.5325,1.1148,1.0638,0.7717,0.1204,0.452,0.5439,0.4766
m13,9.7125,1.3789,0.8298,0.2158,2.4804,2.4982,1.5884,1.0757,1.1173,1.1889,0.8362,0.3823,0.2048,0.5675,0.2695,0.8302
m14,5.1496,1.5062,0.4915,0.0731,2.7094,1.3507,1.5677,0.5166,0.6618,1.1734,0.8348,0.3602,0.0694,0.2725,0.2539,0.4718
m15,6.609,1.0682,0.7069,0.1992,1.9215,1.6578,1.7632,0.9788,0.9517,1.3198,1.5512,1.1673,0.1891,0.5164,0.8227,0.9546
m16,4.6756,0.6535,0.6985,0.1544,1.1756,1.5913,1.1192,1.0946,0.9405,0.8377,0.966,0.6246,0.1466,0.5775,0.4403,0.9593
m17,5.9806,0.6659,0.3794,0.1045,1.1978,1.2296,0.9765,0.4351,0.5109,0.7309,0.6216,0.3567,0.0992,0.2295,0.2514,0.6002
m18,5.2618,0.7385,0.4719,0.1556,1.3285,1.7891,1.461,0.8593,0.6353,1.0936,1.1081,0.8709,0.1476,0.4533,0.6138,0.8555
m19,1.6003,0.5306,0.4357,0.2074,0.9545,1.2257,1.1651,0.5311,0.5867,0.8721,1.1693,0.7055,0.1969,0.2802,0.4973,1.7088
m20,1.9026,0.7879,0.4054,0.216,1.4172,1.5835,1.2407,0.8489,0.5458,0.9287,0.9394,0.5712,0.205,0.4479,0.4026,1.1175
m21,5.2333,1.0368,0.6402,0.2358,1.8649,1.416,1.0292,0.5867,0.862,0.7704,0.7687,0.4755,0.2238,0.3095,0.3352,0.8383
m22,5.5017,0.9459,0.5763,0.1571,1.7015,2.4728,1.7684,1.0937,0.7759,1.3236,1.0914,0.7884,0.1491,0.577,0.5557,0.7312
m23,5.6717,0.8753,0.6526,0.1899,1.5746,1.5083,1.2488,0.588,0.8786,0.9347,1.0509,0.7174,0.1802,0.3102,0.5056,0.8285
m24,5.0718,0.9398,0.5372,0.2126,1.6906,1.7499,1.5691,0.7739,0.7233,1.1744,1.1871,0.7719,0.2018,0.4083,0.5441,0.9131
m25,7.4613,1.5985,0.6322,0.653,2.8754,2.0917,1.1561,1.2087,0.8512,0.8653,0.8536,0.6276,0.6197,0.6377,0.4423,1.1561
m26,2.473,0.8423,0.5241,0.1706,1.5151,1.9152,1.5309,1.2023,0.7056,1.1459,1.2141,0.7349,0.1619,0.6343,0.518,0.9687
m27,3.6557,0.6461,0.4963,0.1995,1.1622,2.0076,1.5561,0.7734,0.6682,1.1647,1.1825,0.7853,0.1893,0.408,0.5535,1.0255
m28,1.4574,0.8007,0.5255,0.333,1.4403,2.0221,1.767,1.6621,0.7076,1.3226,1.4007,1.2243,0.316,0.8769,0.863,1.1602
m29,1.3555,0.7284,0.4266,0.1727,1.3103,2.0912,1.5849,0.7757,0.5744,1.1863,1.0501,0.789,0.1639,0.4093,0.5561,0.7874
m30,3.3218,1.2654,0.7974,0.5276,2.2763,1.8069,1.4391,0.7477,1.0736,1.0771,1.3282,0.9098,0.5007,0.3945,0.6413,1.0206
m31,7.2293,1.2106,0.7529,0.2737,2.1777,2.399,1.7085,0.9352,1.0137,1.2788,1.1251,0.9037,0.2598,0.4934,0.637,1.3782
m32,4.8122,0.7074,0.4443,0.2304,1.2725,3.0246,2.2027,0.8057,0.5982,1.6487,1.2961,0.88,0.2187,0.4251,0.6203,1.0557
m33,4.8989,1.1364,0.4958,0.1347,2.0442,2.1628,1.548,1.1187,0.6676,1.1587,1.1458,0.9082,0.1278,0.5902,0.6402,0.9965
m34,4.7648,1.1498,0.6605,0.1755,2.0683,1.7819,1.3452,0.9547,0.8893,1.0069,0.9581,0.6615,0.1666,0.5037,0.4663,1.1134
m35,2.6681,0.7215,0.5219,0.1941,1.2979,2.1538,1.5516,1.1826,0.7027,1.1613,0.9978,1.1004,0.1842,0.6239,0.7756,1.0447
m36,4.6009,0.9456,0.5546,0.2858,1.701,1.5155,1.1357,0.8262,0.7468,0.8501,0.6874,0.5108,0.2713,0.4359,0.36,0.8542
m37,2.9809,0.8768,0.446,0.125,1.5771,1.4961,1.2729,0.8133,0.6005,0.9528,1.0851,0.4599,0.1186,0.4291,0.3241,0.6931
m38,1.2947,0.702,0.5461,0.3246,1.2627,1.8101,1.4655,1.0848,0.7353,1.0969,1.066,0.8197,0.308,0.5723,0.5777,0.7238
