,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,,,,,,1.5056,0.9732,0.511,,0.7738,1.1906,0.6291,,0.2704,0.4187,0.9398
m2,,,,,,1.7092,1.0164,0.547,,0.8082,0.9198,0.5854,,0.2895,0.3896,0.7231
m3,,,,,,3.5515,2.4433,8.2741,,1.9427,1.6334,1.3715,,4.3788,0.9128,1.128
m4,,,,,,2.6203,2.3264,1.1952,,1.8498,2.3129,1.0216,,0.6325,0.68,1.5542
m5,,,,,,3.7069,5.0185,1.6213,,3.9903,5.978,9.3049,,0.858,6.1931,1.3672
m6,,,,,,2.0806,3.2573,1.4765,,2.59,3.9842,5.2528,,0.7814,3.4961,1.3397
m7,,,,,,2.2198,1.6675,1.0026,,1.3259,1.2917,1.0393,,0.5306,0.6918,0.8754
m8,,,,,,2.2279,1.5989,2.3807,,1.2714,1.2276,0.9588,,1.2599,0.6382,1.8854
m9,2.653,1.3689,0.9604,0.8324,2.4301,2.9579,2.0242,1.5585,1.3556,1.6095,1.1462,0.8929,0.782,0.8248,0.5943,0.7962
m10,2.0865,0.8043,0.5246,0.2467,1.4278,1.4031,1.4516,1.4121,0.7405,1.1542,1.505,1.5201,0.2318,0.7473,1.0118,1.2085
m11,2.4608,1.1721,0.4668,0.2251,2.0807,2.9871,1.4895,0.9423,0.6589,1.1844,0.6348,0.3492,0.2115,0.4987,0.2324,0.3206
m12,4.2155,0.9267,0.7149,0.2196,1.6451,1.4474,1.5763,0.4625,1.009,1.2534,1.4058,0.3372,0.2063,0.2448,0.2244,0.4724
m13,6.3705,1.2083,0.9099,1.5881,2.1449,2.1986,1.3636,0.6172,1.2843,1.0842,0.889,0.6634,1.4919,0.3267,0.4415,0.8821
m14,23.6813,2.3631,2.0201,0.1962,4.195,2.1517,1.7308,1.0939,2.8513,1.3762,1.2959,0.7841,0.1843,0.5789,0.5219,0.9444
m15,4.0495,0.8272,1.0963,0.1918,1.4684,1.1691,1.098,0.5625,1.5474,0.8731,1.325,1.0469,0.1801,0.2977,0.6968,0.8007
m16,12.1645,2.1158,1.8766,2.284,3.7559,1.8801,1.4668,0.8839,2.6488,1.1663,0.9568,0.8623,2.1457,0.4677,0.5739,0.7507
m17,3.7706,0.7473,0.5386,0.1254,1.3266,1.2056,0.8671,0.5657,0.7602,0.6894,0.6555,0.6636,0.1178,0.2994,0.4417,1.0866
m18,5.786,1.2357,0.9254,2.1495,2.1936,0.955,0.6949,0.6792,1.3062,0.5525,1.5733,0.3904,2.0193,0.3595,0.2598,0.5222
m19,5.002,1.5158,0.5528,0.3677,2.6908,2.5027,1.5197,0.9989,0.7803,1.2084,0.915,0.6579,0.3455,0.5286,0.4379,0.7213
m20,5.1545,1.1524,0.7231,0.3163,2.0457,1.7763,1.2497,0.8144,1.0207,0.9937,1.1547,0.7267,0.2971,0.431,0.4837,1.1388
m21,4.0842,1.1282,0.5569,0.1702,2.0027,3.1567,1.7934,1.5902,0.7861,1.426,0.8326,0.6228,0.1599,0.8415,0.4145,1.0519
m22,6.2092,1.3137,0.5827,0.1678,2.332,2.1899,1.4255,1.0756,0.8224,1.1334,0.8369,0.5926,0.1577,0.5692,0.3944,0.7566
m23,3.1779,0.7579,0.6951,0.2207,1.3454,2.011,1.4714,0.589,0.9811,1.1699,0.9076,0.6231,0.2074,0.3117,0.4147,1.1365
m24,2.5935,0.7672,0.545,0.3389,1.3618,1.7075,1.1566,0.8516,0.7693,0.9196,0.9426,0.9968,0.3184,0.4507,0.6634,1.2305
m25,0.9776,0.5137,0.4728,0.5114,0.9119,1.5921,1.0448,1.3346,0.6673,0.8307,0.8625,1.0194,0.4804,0.7063,0.6785,1.4033
m26,0.6409,0.6966,0.2709,0.1209,1.2366,1.7781,1.0163,1.6637,0.3823,0.8081,0.6833,0.8956,0.1136,0.8804,0.5961,1.6074
m27,1.5891,0.7075,0.3185,0.2402,1.256,1.2049,1.0316,0.8909,0.4495,0.8202,0.9083,1.1501,0.2256,0.4715,0.7655,5.3598
m28,8.2461,1.334,1.4377,0.3237,2.368,2.3346,1.4064,0.4427,2.0293,1.1183,0.6113,0.5541,0.3041,0.2343,0.3688,0.7258
