,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,1.1129,0.8567,0.8638,0.1833,1.5198,1.2886,0.7631,0.2498,1.0587,0.5272,0.7594,0.3375,0.1632,0.1253,0.2451,0.6414
m2,0.6386,0.7604,0.7217,0.2101,1.349,1.1765,0.8291,0.3178,0.8846,0.5729,0.9954,0.3913,0.1871,0.1595,0.2842,0.8524
m3,0.8313,0.7294,0.6887,0.1659,1.294,1.041,0.6753,0.3049,0.8441,0.4665,0.7574,0.4319,0.1477,0.153,0.3138,0.7511
m4,0.7579,0.7529,0.648,0.1844,1.3356,1.1183,0.7192,0.2946,0.7942,0.4969,0.7941,0.37,0.1642,0.1478,0.2688,0.6742
m5,0.7573,0.7189,0.7116,0.1586,1.2753,1.298,0.7407,0.3163,0.8721,0.5118,0.6399,0.3764,0.1412,0.1587,0.2734,0.6664
m6,0.6469,0.5918,0.5398,0.0714,1.0498,0.827,0.6187,0.2391,0.6616,0.4275,0.7466,0.3509,0.0636,0.12,0.2549,0.619
m7,0.8474,0.7013,0.5968,0.0512,1.244,0.8557,0.498,0.2282,0.7314,0.3441,0.6392,0.3188,0.0456,0.1145,0.2316,0.5313
m8,0.7396,0.6899,0.5951,0.1375,1.2238,1.212,1.1665,0.4806,0.7294,0.8059,1.157,0.687,0.1224,0.2412,0.499,0.6411
m9,0.8955,0.748,0.6726,0.1743,1.3269,1.4639,1.2752,0.5845,0.8243,0.881,1.3084,0.7043,0.1552,0.2933,0.5116,0.6077
m10,0.9155,0.8489,0.5586,0.1378,1.5059,2.1263,1.5326,1.421,0.6847,1.0589,1.1035,0.6031,0.1227,0.7131,0.438,0.6231
m11,1.1563,0.8442,0.838,0.1355,1.4977,1.8103,1.2191,0.7098,1.0271,0.8423,0.7835,0.4975,0.1206,0.3562,0.3614,0.599
m12,1.1057,0.861,0.5869,0.1804,1.5273,1.1661,0.9797,0.6416,0.7193,0.6769,0.7744,0.5192,0.1606,0.322,0.3771,0.705
m13,1.4115,0.7502,0.5713,0.1948,1.3309,2.1277,1.3245,1.0544,0.7002,0.9151,0.8201,0.5897,0.1735,0.5291,0.4283,0.6749
m14,1.1661,0.993,0.6486,0.1728,1.7616,1.7992,1.3137,0.9746,0.7949,0.9076,1.1297,0.7029,0.1539,0.4891,0.5106,0.7476
m15,1.2464,1.0282,0.6889,0.1278,1.824,2.7971,1.7016,1.7419,0.8444,1.1756,0.9273,0.6211,0.1138,0.8742,0.4512,0.6779
m16,1.2583,0.7305,0.6179,0.1645,1.2959,1.2211,1.1286,0.6238,0.7573,0.7797,1.2615,0.8566,0.1464,0.313,0.6222,0.9228
m17,1.0121,0.6927,0.6679,0.1467,1.2288,1.9504,1.8933,0.9397,0.8187,1.3081,1.6425,0.6551,0.1306,0.4716,0.4758,0.4488
m18,0.8783,0.6537,0.6751,0.1865,1.1597,1.3486,1.4335,1.0096,0.8275,0.9904,1.2806,1.1316,0.1661,0.5067,0.8219,0.8107
m19,0.8806,0.7036,0.6694,0.2101,1.2481,2.1551,1.6454,1.5822,0.8205,1.1368,1.1712,0.787,0.1871,0.794,0.5717,0.8587
m20,1.5006,1.1781,0.7724,0.4367,2.0898,3.213,2.3742,1.4937,0.9466,1.6403,1.7699,0.9833,0.3888,0.7496,0.7142,1.0909
m21,2.7589,1.0672,0.7946,0.4053,1.8932,2.8844,2.0931,1.3908,0.9739,1.4461,1.5692,1.1293,0.3609,0.698,0.8203,1.1431
m22,1.8092,1.1677,0.7535,0.3067,2.0715,2.4272,2.0232,1.1955,0.9235,1.3978,1.6607,0.948,0.2731,0.5999,0.6886,1.0123
