date,day as a number,Physical distancing-Measures for special populations-Other,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Isolation of case-Not applicable,Case management and quarantine-Contact tracing-Other,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Case reporting aboard conveyances-Not applicable,Physical distancing-Closure of educational institutions-Secondary School,Hygiene and safety measure-Protective mask use community-Closed public spaces,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Stay at home orders-Not applicable,Internal travel-Travel restrictions-Other,Internal travel-Travel restrictions-Cordon sanitaire,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of public spaces-Place of worship,Ensuring treatment capacity-COVID related care-Other,Physical distancing-Workplace measures-Teleworking,Physical distancing-Public gathering restriction-Other,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Workplace measures-Adaptation of workplace,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of public spaces-Hotels other accommodation,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Private gathering restriction-Social Circle,Physical distancing-Closure of educational institutions-Other,Hygiene and safety measure-Protective mask use community-Other,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Contact tracing-Mobile technology,Hygiene and safety measure-Other-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 500,General-Activate incident emergency management system-Not applicable,Physical distancing-Public gathering restriction-Indoor over 1000,Physical distancing-Public gathering restriction-Not applicable,Physical distancing-Public gathering restriction-Indoor over 500,Physical distancing-Public gathering restriction-Outdoor over 100,Physical distancing-Public gathering restriction-Indoor over 50,General-General other-Not applicable,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Risk assessment-Not applicable,Internal travel-Quarantine for internal travellers-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 50
2020-03-01,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,3,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,4,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,5,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,6,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,7,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,8,2,0,2,2,0,0,0,2,2,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,9,2,0,2,2,0,0,0,2,2,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-11,10,2,0,2,2,2,0,0,2,2,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-12,11,2,0,2,2,2,0,0,2,2,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-13,12,2,0,2,2,2,0,0,2,2,2,0,0,0,2,0,2,2,2,2,2,0,2,0,0,0,0,0,1,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-14,13,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,14,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,15,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
