"date","age_groups","mean_contacts","lower_95_ci","median_contacts","upper_95_ci"
2020-03-01,"0-18 to 0-18",6.03097015646606,4.40270467963169,6.01863972032657,7.67913269750108
2020-03-02,"0-18 to 0-18",6.04038927560566,4.41428693084559,6.02591976155321,7.70781017939676
2020-03-03,"0-18 to 0-18",6.04299803321913,4.41280398982026,6.03335699484629,7.7009254142971
2020-03-04,"0-18 to 0-18",6.04367146864068,4.4107684011572,6.02357766281089,7.73073490297742
2020-03-05,"0-18 to 0-18",6.04057142022558,4.37008178918579,6.03221750277867,7.73255262489486
2020-03-06,"0-18 to 0-18",6.05132259750852,4.43469618482429,6.04713366228044,7.74299808165891
2020-03-07,"0-18 to 0-18",6.04776153222715,4.41099346469106,6.04554219095762,7.71421905985381
2020-03-08,"0-18 to 0-18",6.03335185887407,4.4185638446882,6.03387012243974,7.67844429982644
2020-03-09,"0-18 to 0-18",6.05763074953942,4.42859923053606,6.03653933274077,7.73580879119342
2020-03-10,"0-18 to 0-18",6.05496586066841,4.41754925519168,6.03322948220019,7.74016620132154
2020-03-11,"0-18 to 0-18",6.04685891990166,4.44002265070568,6.03290471955664,7.68938595368636
2020-03-12,"0-18 to 0-18",-5.74068891361964,-8.49252632352575,-5.76313200748536,-2.8726716594889
2020-03-13,"0-18 to 0-18",-5.5134313066562,-8.17636492390566,-5.54759654070212,-2.79610174993082
2020-03-14,"0-18 to 0-18",-5.50674763012312,-8.18701231550066,-5.52314463901044,-2.75680855097424
2020-03-15,"0-18 to 0-18",-5.51551228727923,-8.18835559949004,-5.52506778514988,-2.75025419637385
2020-03-16,"0-18 to 0-18",-11.4280983942942,-14.625955737221,-11.4611281011929,-8.10547069761944
2020-03-17,"0-18 to 0-18",-11.4354795952797,-14.6414631831561,-11.4513958641192,-8.13617042580508
2020-03-18,"0-18 to 0-18",-11.4318673362481,-14.6701078368333,-11.4534392180625,-8.15999222826803
2020-03-19,"0-18 to 0-18",-11.4445436357537,-14.6523480348608,-11.4757664691044,-8.09921972022651
2020-03-20,"0-18 to 0-18",-11.4423494808607,-14.6209371945338,-11.4807671916158,-8.12365651887081
2020-03-21,"0-18 to 0-18",-11.4345825040199,-14.6541933088787,-11.4628545132457,-8.1574917792013
2020-03-22,"0-18 to 0-18",-11.4421475451045,-14.6260933789828,-11.4773292956304,-8.15290413967582
2020-03-23,"0-18 to 0-18",-11.4376062855751,-14.6642419084968,-11.4646658775754,-8.10514432739112
2020-03-24,"0-18 to 0-18",-11.4396176438898,-14.6586281711092,-11.467644232119,-8.15074899581822
2020-03-25,"0-18 to 0-18",-15.9020161047254,-19.7551158613786,-15.9258387317041,-11.8882350536512
2020-03-26,"0-18 to 0-18",-15.9169568497466,-19.8617465806875,-15.9485105512251,-11.9004741124894
2020-03-27,"0-18 to 0-18",-19.2861993920171,-23.558702612252,-19.3319412584357,-14.8468987872828
2020-03-28,"0-18 to 0-18",-19.2734501288685,-23.5917514061155,-19.288842767123,-14.8619354261091
2020-03-29,"0-18 to 0-18",-19.2882813353606,-23.5633033822701,-19.3261402385153,-14.9404456164258
2020-03-30,"0-18 to 0-18",-19.2729131312319,-23.5548625958398,-19.3158787066983,-14.8789271902113
2020-03-31,"0-18 to 0-18",-19.2800367223456,-23.5982749645106,-19.3150653687785,-14.8678931334152
2020-04-01,"0-18 to 0-18",-19.2694570942488,-23.5793347916756,-19.2917447739517,-14.8911755876183
2020-04-02,"0-18 to 0-18",-19.2647721226779,-23.5929251211244,-19.2921134748217,-14.8820466468907
