"date","age_groups","mean_contacts","lower_95_ci","median_contacts","upper_95_ci"
2020-03-01,"0-18 to 0-18",-1.39315167375452,-3.66461282641574,-1.34717848250383,0.77031309054638
2020-03-02,"0-18 to 0-18",-1.40675828451655,-3.68721878308825,-1.35716411085486,0.723681792917121
2020-03-03,"0-18 to 0-18",-1.39421645505783,-3.66936124756457,-1.33629229163047,0.73020279381076
2020-03-04,"0-18 to 0-18",-1.40039654079159,-3.65185796928482,-1.36170237763441,0.750363332235721
2020-03-05,"0-18 to 0-18",-1.41033840809531,-3.71253291878303,-1.37033504274251,0.710814202630205
2020-03-06,"0-18 to 0-18",-1.40284826770568,-3.64924189603832,-1.37154906048668,0.744424967140532
2020-03-07,"0-18 to 0-18",-1.40261321818533,-3.65682890632704,-1.36622327712178,0.759262306210361
2020-03-08,"0-18 to 0-18",-1.40023326101133,-3.65326399634859,-1.36473658932875,0.719595048636494
2020-03-09,"0-18 to 0-18",-1.3953403139269,-3.64147768156989,-1.35537467153726,0.754863685672452
2020-03-10,"0-18 to 0-18",-1.40743561526081,-3.66554170749063,-1.37701419177946,0.743408318638135
2020-03-11,"0-18 to 0-18",-1.96897943717431,-4.29940331340682,-1.92290946673661,0.214480940497881
2020-03-12,"0-18 to 0-18",-1.95064868728824,-4.28917316406531,-1.90212922224821,0.245559249502258
2020-03-13,"0-18 to 0-18",-1.95180619096344,-4.27839028364989,-1.90435055187772,0.246192585358646
2020-03-14,"0-18 to 0-18",-3.23817537079134,-4.85623871124721,-3.22174443242183,-1.6840148477053
2020-03-15,"0-18 to 0-18",-5.18055419988174,-7.01451443900153,-5.13323773066911,-3.53480798028421
2020-03-16,"0-18 to 0-18",-6.81511181951413,-8.84819820875209,-6.75278951066174,-4.98739025965413
2020-03-17,"0-18 to 0-18",-6.820979351558,-8.85088113929896,-6.74653241045555,-4.98986898124093
2020-03-18,"0-18 to 0-18",-6.83545809231181,-8.88290303263539,-6.77851819711234,-4.98779190830427
2020-03-19,"0-18 to 0-18",-6.95603234728647,-9.00587373719889,-6.89599470167687,-5.10905040499712
2020-03-20,"0-18 to 0-18",-6.95742827685274,-9.00822551721367,-6.89504492972466,-5.13542613473449
2020-03-21,"0-18 to 0-18",-6.96606206265927,-8.97336584403165,-6.91578260904902,-5.12128958343666
2020-03-22,"0-18 to 0-18",-6.96126678393762,-9.03035463139868,-6.90599660804046,-5.09088117344691
2020-03-23,"0-18 to 0-18",-6.55397606114829,-8.53469227140599,-6.49740140712575,-4.72146468380844
2020-03-24,"0-18 to 0-18",-6.57173215607098,-8.52028229254337,-6.53689279964164,-4.72272775968674
2020-03-25,"0-18 to 0-18",-6.56731916232681,-8.55389969370251,-6.53629778716197,-4.72270626906681
2020-03-26,"0-18 to 0-18",-6.57103019416375,-8.56127751081382,-6.52145360966429,-4.74276905099383
2020-03-27,"0-18 to 0-18",-6.57125716020296,-8.52677344228244,-6.53351043367116,-4.74173338130131
2020-03-28,"0-18 to 0-18",-6.56385848266178,-8.51786958565578,-6.5243187523177,-4.74911271973297
2020-03-29,"0-18 to 0-18",-6.57692378987421,-8.53482700797885,-6.55162071011568,-4.70988101783893
2020-03-30,"0-18 to 0-18",-6.57001198382328,-8.52894358596732,-6.53328276726839,-4.7171739475757
2020-03-31,"0-18 to 0-18",-6.5625239727841,-8.54450616706154,-6.5120059139175,-4.72370616968398
2020-04-01,"0-18 to 0-18",-6.55672294624659,-8.55629032670619,-6.51090197424861,-4.73209032718152
2020-04-02,"0-18 to 0-18",-6.56917613679573,-8.51998608024434,-6.53209509839364,-4.7210001349502
2020-04-03,"0-18 to 0-18",-6.56015597419699,-8.53484632664324,-6.51778771444724,-4.74197814776665
2020-04-04,"0-18 to 0-18",-6.56878573842102,-8.5313796544995,-6.52776724057978,-4.74239112874987
2020-04-05,"0-18 to 0-18",-6.57354127222252,-8.56463449307442,-6.53482887929978,-4.73066158603161
2020-04-06,"0-18 to 0-18",-6.57687570875844,-8.53693447399784,-6.53032915939312,-4.73846237149009
2020-04-07,"0-18 to 0-18",-6.58036523053968,-8.56363945284189,-6.54335681262744,-4.74574243693081
2020-04-08,"0-18 to 0-18",-6.56004051720901,-8.56002115961626,-6.51833845186245,-4.75212145646589
2020-04-09,"0-18 to 0-18",-6.57239240943131,-8.56633579377108,-6.54041613623342,-4.76037728295299
2020-04-10,"0-18 to 0-18",-6.57356911471714,-8.50378233365735,-6.53151154570322,-4.74211359517157
2020-04-11,"0-18 to 0-18",-6.57890277277514,-8.55499405897698,-6.55179098501059,-4.74916588178765
