"date","age_groups","mean_contacts","lower_95_ci","median_contacts","upper_95_ci"
2020-03-01,"0-18 to 0-18",32.7541986994999,26.6405789457436,32.7760502676806,38.8493388479038
2020-03-02,"0-18 to 0-18",32.7382554232948,26.6404339613497,32.7270356525509,38.8464581947015
2020-03-03,"0-18 to 0-18",32.767659411681,26.7171251537165,32.7556745395559,38.9357860736014
2020-03-04,"0-18 to 0-18",32.7736347861981,26.5829294355005,32.7580263307258,38.8557562081591
2020-03-05,"0-18 to 0-18",32.7614067415331,26.6265147314247,32.7461234676777,38.861291742503
2020-03-06,"0-18 to 0-18",32.7803655452853,26.6902852010676,32.7816866407705,38.8711647386742
2020-03-07,"0-18 to 0-18",32.7548558740568,26.6145705585537,32.7438867180119,38.9306750057556
2020-03-08,"0-18 to 0-18",32.7779571470506,26.6446143122245,32.798235230332,38.9248634249059
2020-03-09,"0-18 to 0-18",35.5867959180931,29.055248350435,35.5696758101795,42.0405826497406
2020-03-10,"0-18 to 0-18",35.5651485346845,29.050275928111,35.5810399658255,41.948582568331
2020-03-11,"0-18 to 0-18",35.5737289464613,29.085027369997,35.5765060662494,42.0749752966607
2020-03-12,"0-18 to 0-18",31.2015571073802,25.2969853176853,31.2073404535791,36.9450708749556
2020-03-13,"0-18 to 0-18",31.1937677601282,25.2832190497106,31.2360904963376,36.9877569770714
2020-03-14,"0-18 to 0-18",28.7472043909614,23.2213474172253,28.7299213415712,34.333019448127
2020-03-15,"0-18 to 0-18",21.9013807125719,17.4704015042672,21.9244918941912,26.2962368203787
2020-03-16,"0-18 to 0-18",5.16712582223049,0.408010191086139,5.15809969996748,9.94329280142143
2020-03-17,"0-18 to 0-18",2.06937947335804,-2.82689520955689,2.06922153993411,6.937063881637
2020-03-18,"0-18 to 0-18",-2.95333198960014,-9.31123917583378,-2.96900597148631,3.44963580244111
2020-03-19,"0-18 to 0-18",-2.94109220028617,-9.1905522559858,-2.9304761211953,3.42183645300482
2020-03-20,"0-18 to 0-18",-2.935501431196,-9.21485536326124,-2.95574676318518,3.46932282724222
2020-03-21,"0-18 to 0-18",-2.93444667189527,-9.26131854054061,-2.94849037342034,3.43147532970404
2020-03-22,"0-18 to 0-18",-2.93224430869805,-9.1980405494171,-2.94956643544149,3.45880426187256
2020-03-23,"0-18 to 0-18",-2.94416251200451,-9.29961534503625,-2.96344731982421,3.41808910958479
2020-03-24,"0-18 to 0-18",-2.9291663510365,-9.20998922829012,-2.92200817867045,3.41301949638344
2020-03-25,"0-18 to 0-18",-2.93039846687194,-9.2631807621058,-2.93920460130703,3.42117411339126
2020-03-26,"0-18 to 0-18",-2.9353338988825,-9.25623810554272,-2.95221519385313,3.42732297963774
2020-03-27,"0-18 to 0-18",-2.95010650069383,-9.20585034025752,-2.98211993745024,3.45237395736831
2020-03-28,"0-18 to 0-18",-2.92780787839959,-9.20407453337264,-2.9109145166302,3.44851248982818
2020-03-29,"0-18 to 0-18",-2.93258015225353,-9.2939761569068,-2.96676652672687,3.4887392996449
2020-03-30,"0-18 to 0-18",-2.93835253520048,-9.22908527053222,-2.92624832995999,3.4098766813025
2020-03-31,"0-18 to 0-18",-2.94219986272203,-9.2323678972967,-2.97808104862937,3.41885251389656
2020-04-01,"0-18 to 0-18",-2.92237693146988,-9.20459526770675,-2.93983359554917,3.39384918843515
