"date","age_groups","mean_contacts","lower_95_ci","median_contacts","upper_95_ci"
2020-03-01,"0-18 to 0-18",-6.84874163279324,-11.8352857807528,-6.83480380632631,-1.91965160758269
2020-03-02,"0-18 to 0-18",-6.83707096496319,-11.8112509625606,-6.82546853687644,-1.88077319525563
2020-03-03,"0-18 to 0-18",-6.83908971499831,-11.7980628481582,-6.82172183572787,-1.94342794766796
2020-03-04,"0-18 to 0-18",-6.83908640842497,-11.8410874149228,-6.81685046590817,-1.90757887825196
2020-03-05,"0-18 to 0-18",-6.83611260154509,-11.812304855666,-6.81854957263446,-1.92682498602446
2020-03-06,"0-18 to 0-18",-6.83287335253687,-11.7977097760593,-6.81748001064399,-1.88518654502095
2020-03-07,"0-18 to 0-18",-6.83793125604173,-11.830229870252,-6.82246412379463,-1.94279098072731
2020-03-08,"0-18 to 0-18",-6.83506177530642,-11.8324528831932,-6.83920579943318,-1.89352293781473
2020-03-09,"0-18 to 0-18",-6.83655874205571,-11.8099484958217,-6.82817681498235,-1.8753747509744
2020-03-10,"0-18 to 0-18",-6.83620815838417,-11.7731457057061,-6.85297035504956,-1.89340496942347
2020-03-11,"0-18 to 0-18",-6.84187243613771,-11.8409257580385,-6.83109586308847,-1.85894643221512
2020-03-12,"0-18 to 0-18",-6.83358877170069,-11.8324763294822,-6.82601935549653,-1.89465951775629
2020-03-13,"0-18 to 0-18",-7.27556100881432,-12.2453894631179,-7.26025057846494,-2.33359094867239
2020-03-14,"0-18 to 0-18",-7.28576884902122,-12.2884385893154,-7.24227687696411,-2.31823449483403
2020-03-15,"0-18 to 0-18",-7.2763743293917,-12.2887036923041,-7.24966618794135,-2.30430548870307
2020-03-16,"0-18 to 0-18",-7.27793593130259,-12.2373832739876,-7.24676933340414,-2.34503595108218
2020-03-17,"0-18 to 0-18",-7.27960062823846,-12.2797608019271,-7.2495419502502,-2.28005143143093
2020-03-18,"0-18 to 0-18",-5.4115698390073,-9.76348272774837,-5.39153791096456,-1.03944006030998
2020-03-19,"0-18 to 0-18",-5.40963815278684,-9.79377285982069,-5.37982143103258,-1.02222473887124
2020-03-20,"0-18 to 0-18",-5.41616382253179,-9.78870022583096,-5.41641707783313,-1.02828764158346
2020-03-21,"0-18 to 0-18",-5.40647007203669,-9.78759022688854,-5.37136773276223,-1.02098730032145
2020-03-22,"0-18 to 0-18",-5.41341932365766,-9.78427806632727,-5.40610549465574,-1.01466415189872
2020-03-23,"0-18 to 0-18",-5.2717520265214,-9.60564526435539,-5.26312639498073,-0.926616869702965
2020-03-24,"0-18 to 0-18",-5.25770796337121,-9.62449367134966,-5.23576213909456,-0.909932035148083
2020-03-25,"0-18 to 0-18",-5.2590841597554,-9.61612425190469,-5.2459409569007,-0.914426384194345
2020-03-26,"0-18 to 0-18",-5.26570784461484,-9.60645257133426,-5.26159511438828,-0.89285361252038
2020-03-27,"0-18 to 0-18",-5.26094800701797,-9.57801623200939,-5.22609797197685,-0.905038755582389
2020-03-28,"0-18 to 0-18",-6.20812721139744,-11.1603772849343,-6.19141717813846,-1.24086870296022
2020-03-29,"0-18 to 0-18",-6.21204367646694,-11.1465740819833,-6.19072871280819,-1.28393555075634
2020-03-30,"0-18 to 0-18",-6.21112577225834,-11.230635671179,-6.19241250997176,-1.26614451324125
2020-03-31,"0-18 to 0-18",-6.21227141702986,-11.1428992549298,-6.20421733610062,-1.30347237284226
2020-04-01,"0-18 to 0-18",-6.21286470092085,-11.1696820054489,-6.2061421341953,-1.26771228700179
2020-04-02,"0-18 to 0-18",-6.21279278198726,-11.1713133578855,-6.17986210819262,-1.25730036891655
2020-04-03,"0-18 to 0-18",-6.21043093127127,-11.1457512486379,-6.20471325540979,-1.24758699195079
2020-04-04,"0-18 to 0-18",-6.21000350300843,-11.210427652972,-6.19445344862758,-1.29679283815587
2020-04-05,"0-18 to 0-18",-6.20730238719371,-11.1453305931424,-6.1829181519718,-1.23697300809918
2020-04-06,"0-18 to 0-18",-6.21341586402396,-11.1821605203199,-6.19788743607019,-1.28026644244854
2020-04-07,"0-18 to 0-18",-3.25088459815213,-7.30145166285602,-3.22449346522367,0.776039571005378
2020-04-08,"0-18 to 0-18",-3.24526664962753,-7.24143058069807,-3.24430381038057,0.763957550559248
2020-04-09,"0-18 to 0-18",-3.24204447767137,-7.27655605637008,-3.23550888415936,0.77225713732735
2020-04-10,"0-18 to 0-18",-3.24138140966536,-7.23893050189393,-3.23574296686884,0.792279843635845
2020-04-11,"0-18 to 0-18",-3.24792009413363,-7.28916058419828,-3.26209045275084,0.818879852804797
2020-04-12,"0-18 to 0-18",-3.24553975620399,-7.28788718215425,-3.23288130995211,0.773679044909046
2020-04-13,"0-18 to 0-18",-3.2472709451141,-7.23342479706267,-3.25305056789693,0.785191848605087
2020-04-14,"0-18 to 0-18",-3.25040103875176,-7.25163825573031,-3.2373283152169,0.804952137154484
2020-04-15,"0-18 to 0-18",-3.24736034086726,-7.30991154836458,-3.24989778998231,0.752057310265147
2020-04-16,"0-18 to 0-18",-3.24069723166753,-7.25064645461626,-3.22023904560421,0.766522209580896
2020-04-17,"0-18 to 0-18",-3.25335848483282,-7.31774697575492,-3.249757787549,0.810251985852922
2020-04-18,"0-18 to 0-18",-3.24159223600356,-7.28081990119314,-3.24127811503574,0.854416603963198
2020-04-19,"0-18 to 0-18",-3.24068688735455,-7.25168895867502,-3.2178130560179,0.748581529723164
2020-04-20,"0-18 to 0-18",-3.24791515180937,-7.22847228726662,-3.24124489086721,0.791688741544176
2020-04-21,"0-18 to 0-18",-3.24678910320034,-7.2673856067198,-3.23934026732656,0.834848134336679
2020-04-22,"0-18 to 0-18",-3.25232468575718,-7.27230541016404,-3.23619608697075,0.800165200042469
2020-04-23,"0-18 to 0-18",-3.24836742952252,-7.25130718894718,-3.22894590663369,0.794640183994166
2020-04-24,"0-18 to 0-18",-3.24285842623695,-7.30587046041959,-3.24320428098493,0.77399268965645
2020-04-25,"0-18 to 0-18",-3.24556996930183,-7.25602170714989,-3.23809085282631,0.801495738968322
2020-04-26,"0-18 to 0-18",-3.24224749214936,-7.31911303616901,-3.24026152540094,0.787280008490453
2020-04-27,"0-18 to 0-18",-3.24351756673317,-7.27839011526784,-3.26343521205102,0.795498221769273
2020-04-28,"0-18 to 0-18",-3.23896737293446,-7.21848343700525,-3.24832444469934,0.827214118338898
2020-04-29,"0-18 to 0-18",-3.24757998024262,-7.27570676255032,-3.23309367675486,0.795409843142767
2020-04-30,"0-18 to 0-18",-3.24871387407305,-7.30220611735652,-3.23769759181485,0.794453879851667
2020-05-01,"0-18 to 0-18",-3.25160776465705,-7.25609841879789,-3.21998572196778,0.790664488169908
2020-05-02,"0-18 to 0-18",-3.24943371128538,-7.23290213775498,-3.24324150179986,0.804827718374329
2020-05-03,"0-18 to 0-18",-3.24708282097573,-7.2983199119997,-3.24776679522768,0.807556368131249
2020-05-04,"0-18 to 0-18",-3.2512466997029,-7.26180982272666,-3.25047288714983,0.844869805049145
2020-05-05,"0-18 to 0-18",-3.2493688827436,-7.30213611881045,-3.23036530638732,0.768172427597727
2020-05-06,"0-18 to 0-18",-3.25966766651436,-7.28508080198453,-3.26093511531669,0.77995112917867
2020-05-07,"0-18 to 0-18",-3.24099738027522,-7.24393958693805,-3.23690857448802,0.789105494458196
